0.19	-0.718	0.267		0.19	-0.7352	0.27459		0.19	-0.701	0.229		0.19	-0.73166	0.25347		0.19	-0.709	0.235		0.19	-0.707	0.232		0.19	-0.70646	0.23321		0.19	-0.74417	0.26401		0.19	-0.69998	0.22941		0.19	-0.70697	0.23284		
0.2	-0.712	0.262		0.2	-0.72972	0.27141		0.2	-0.694	0.223		0.2	-0.72607	0.24738		0.2	-0.701	0.23		0.2	-0.7	0.227		0.2	-0.69911	0.22735		0.2	-0.7395	0.26078		0.2	-0.69252	0.22356		0.2	-0.69987	0.2272		
0.21	-0.706	0.256		0.21	-0.7238	0.2676		0.21	-0.686	0.217		0.21	-0.71937	0.24158		0.21	-0.694	0.224		0.21	-0.693	0.221		0.21	-0.69165	0.22164		0.21	-0.73384	0.25767		0.21	-0.68459	0.21747		0.21	-0.69219	0.22148		
0.22	-0.699	0.251		0.22	-0.71814	0.26155		0.22	-0.678	0.211		0.22	-0.71255	0.23623		0.22	-0.686	0.218		0.22	-0.685	0.215		0.22	-0.68368	0.21559		0.22	-0.7283	0.25296		0.22	-0.67653	0.21135		0.22	-0.68448	0.21552		
0.23	-0.692	0.245		0.23	-0.7129	0.25573		0.23	-0.67	0.205		0.23	-0.70502	0.2305		0.23	-0.678	0.211		0.23	-0.677	0.208		0.23	-0.67517	0.20917		0.23	-0.72332	0.24654		0.23	-0.66823	0.20504		0.23	-0.67629	0.20938		
0.24	-0.684	0.239		0.24	-0.70627	0.24978		0.24	-0.661	0.198		0.24	-0.69747	0.22466		0.24	-0.67	0.205		0.24	-0.668	0.202		0.24	-0.66664	0.20283		0.24	-0.71694	0.24077		0.24	-0.65881	0.19803		0.24	-0.66795	0.20303		
0.25	-0.677	0.234		0.25	-0.6993	0.24458		0.25	-0.651	0.191		0.25	-0.68945	0.21874		0.25	-0.661	0.198		0.25	-0.659	0.195		0.25	-0.65715	0.19588		0.25	-0.71046	0.23552		0.25	-0.64921	0.19082		0.25	-0.65846	0.19624		
0.26	-0.668	0.227		0.26	-0.69177	0.23849		0.26	-0.642	0.184		0.26	-0.68144	0.21233		0.26	-0.651	0.191		0.26	-0.649	0.188		0.26	-0.64807	0.18951		0.26	-0.70386	0.23026		0.26	-0.63934	0.18379		0.26	-0.64966	0.1898		
0.27	-0.66	0.221		0.27	-0.68399	0.23225		0.27	-0.632	0.177		0.27	-0.67285	0.20591		0.27	-0.642	0.184		0.27	-0.639	0.182		0.27	-0.6382	0.18247		0.27	-0.69655	0.22459		0.27	-0.62966	0.17701		0.27	-0.63969	0.18279		
0.28	-0.65	0.214		0.28	-0.6761	0.22624		0.28	-0.621	0.17		0.28	-0.66345	0.19889		0.28	-0.632	0.177		0.28	-0.629	0.174		0.28	-0.62777	0.17524		0.28	-0.68895	0.21858		0.28	-0.61924	0.16963		0.28	-0.62944	0.17544		
0.29	-0.641	0.207		0.29	-0.66794	0.21985		0.29	-0.61	0.162		0.29	-0.6538	0.19176		0.29	-0.621	0.17		0.29	-0.619	0.167		0.29	-0.61713	0.16791		0.29	-0.6812	0.21267		0.29	-0.60801	0.16252		0.29	-0.619	0.16832		
0.3	-0.632	0.2		0.3	-0.65939	0.2136		0.3	-0.599	0.155		0.3	-0.644	0.18469		0.3	-0.61	0.162		0.3	-0.607	0.16		0.3	-0.60599	0.1606		0.3	-0.67288	0.2063		0.3	-0.59673	0.15539		0.3	-0.60818	0.16105		
0.31	-0.621	0.193		0.31	-0.64995	0.20655		0.31	-0.587	0.148		0.31	-0.63411	0.17779		0.31	-0.599	0.155		0.31	-0.596	0.152		0.31	-0.59474	0.15341		0.31	-0.66435	0.19995		0.31	-0.58506	0.1479		0.31	-0.59688	0.15359		
0.32	-0.611	0.186		0.32	-0.64013	0.19941		0.32	-0.575	0.14		0.32	-0.62365	0.17036		0.32	-0.587	0.147		0.32	-0.585	0.145		0.32	-0.5831	0.14585		0.32	-0.65489	0.19301		0.32	-0.5729	0.14082		0.32	-0.58548	0.14641		
0.33	-0.6	0.178		0.33	-0.6301	0.19225		0.33	-0.563	0.133		0.33	-0.61236	0.16306		0.33	-0.575	0.139		0.33	-0.573	0.138		0.33	-0.57089	0.13867		0.33	-0.64591	0.18664		0.33	-0.56077	0.13355		0.33	-0.57345	0.13901		
0.34	-0.588	0.171		0.34	-0.62027	0.18539		0.34	-0.551	0.126		0.34	-0.60106	0.15579		0.34	-0.562	0.132		0.34	-0.56	0.13		0.34	-0.55831	0.13082		0.34	-0.63618	0.17972		0.34	-0.54841	0.12738		0.34	-0.56129	0.13168		
0.35	-0.577	0.163		0.35	-0.60958	0.17806		0.35	-0.536	0.117		0.35	-0.58901	0.14795		0.35	-0.55	0.126		0.35	-0.547	0.125		0.35	-0.54636	0.12517		0.35	-0.62579	0.17242		0.35	-0.53366	0.118		0.35	-0.54904	0.12563		
0.36	-0.565	0.156		0.36	-0.5986	0.1709		0.36	-0.524	0.11		0.36	-0.57693	0.14046		0.36	-0.535	0.117		0.36	-0.533	0.114		0.36	-0.5317	0.11558		0.36	-0.61516	0.16507		0.36	-0.52085	0.11054		0.36	-0.53462	0.11637		
0.37	-0.553	0.148		0.37	-0.58657	0.16284		0.37	-0.51	0.102		0.37	-0.56474	0.13275		0.37	-0.523	0.109		0.37	-0.52	0.107		0.37	-0.51862	0.108		0.37	-0.60391	0.15779		0.37	-0.50653	0.10325		0.37	-0.52168	0.10875		
0.38	-0.54	0.141		0.38	-0.57478	0.15543		0.38	-0.495	0.09505		0.38	-0.55227	0.12661		0.38	-0.508	0.101		0.38	-0.506	0.09973		0.38	-0.50444	0.1008		0.38	-0.59275	0.15057		0.38	-0.4922	0.09607		0.38	-0.50737	0.10127		
0.39	-0.526	0.132		0.39	-0.56278	0.14797		0.39	-0.481	0.08796		0.39	-0.53714	0.11732		0.39	-0.494	0.09417		0.39	-0.491	0.09235		0.39	-0.49008	0.09362		0.39	-0.58102	0.1431		0.39	-0.47701	0.08907		0.39	-0.49319	0.09439		
